,state_id,time,m_prism_ppt,state_abb
126,01,1991-07-31,109.8817549519572,AL
127,01,1991-08-31,90.0436178155873,AL
128,01,1991-09-30,71.96867607563458,AL
129,01,1991-10-31,26.331183069276697,AL
130,01,1991-11-30,99.83035723200223,AL
131,01,1991-12-31,168.24479917059406,AL
132,01,1992-01-31,150.62585412921942,AL
133,01,1992-02-29,146.05580049248968,AL
134,01,1992-03-31,115.1402452541884,AL
135,01,1992-04-30,68.98528929385334,AL
136,01,1992-05-31,50.493748198493755,AL
137,01,1992-06-30,146.87770852308884,AL
138,01,1992-07-31,152.05335492382972,AL
139,01,1992-08-31,137.31868408478698,AL
140,01,1992-09-30,90.86230450985815,AL
141,01,1992-10-31,69.10341595856103,AL
142,01,1992-11-30,225.71058123991125,AL
143,01,1992-12-31,133.659446109141,AL
