"","year","crop_area","state_name","irr_area","prop_irr","fips","decade"
"171",2002,95983,"NEW HAMPSHIRE",2256,0.0235041621953888,"33","2000_2009"
"172",2002,444670,"NEW JERSEY",95793,0.21542492185216,"34","2000_2009"
"173",2002,856166,"NEW MEXICO",654172,0.764071453433096,"35","2000_2009"
"174",2002,3846368,"NEW YORK",68914,0.0179166424013511,"36","2000_2009"
"175",2002,4308209,"NORTH CAROLINA",238345,0.0553234534350585,"37","2000_2009"
"176",2002,19908697,"NORTH DAKOTA",201019,0.0100970445228033,"38","2000_2009"
"177",2002,10041416,"OHIO",39881,0.00397165101017625,"39","2000_2009"
"178",2002,7705860,"OKLAHOMA",470943,0.0611149177379293,"40","2000_2009"
"179",2002,3119384,"OREGON",1415826,0.453879996819885,"41","2000_2009"
"180",2002,4079276,"PENNSYLVANIA",40880,0.0100213861479341,"42","2000_2009"
"181",2002,17820,"RHODE ISLAND",3948,0.221548821548822,"44","2000_2009"
"182",2002,1374617,"SOUTH CAROLINA",91795,0.0667786008757348,"45","2000_2009"
"183",2002,13492286,"SOUTH DAKOTA",384170,0.0284733068955105,"46","2000_2009"
"184",2002,4365360,"TENNESSEE",58356,0.0133679696519875,"47","2000_2009"
"185",2002,17750938,"TEXAS",4571339,0.257526616339937,"48","2000_2009"
"186",2002,961037,"UTAH",780235,0.811867805297819,"49","2000_2009"
"187",2002,454699,"VERMONT",2165,0.00476139160191687,"50","2000_2009"
"188",2002,2623776,"VIRGINIA",95293,0.0363190302830729,"51","2000_2009"
"189",2002,4894634,"WASHINGTON",1669928,0.341175254370398,"53","2000_2009"
"190",2002,648635,"WEST VIRGINIA",0,0,"54","2000_2009"
"191",2002,8928083,"WISCONSIN",380385,0.0426054506885745,"55","2000_2009"
"192",2002,1298709,"WYOMING",960430,0.739526714606582,"56","2000_2009"
"193",1997,2179636,"ALABAMA",73490,0.0337166389250315,"01","1990_1999"
"194",1997,1026359,"ARIZONA",1020622,0.994410337903209,"04","1990_1999"
"195",1997,7814711,"ARKANSAS",3772697,0.48276858862727,"05","1990_1999"
"196",1997,8676242,"CALIFORNIA",8101078,0.933708165355462,"06","1990_1999"
"197",1997,6099357,"COLORADO",2728402,0.447326168971582,"08","1990_1999"
"198",1997,153446,"CONNECTICUT",7564,0.0492942142512675,"09","1990_1999"
"199",1997,469920,"DELAWARE",74733,0.159033452502554,"10","1990_1999"
