"","year","state_abb","m_prism_ppt","m_prism_tavg","decade","fips"
"599","2019","KY",123.813516339827,17.4124994146761,"2010_2019","21"
"600","2020","KY",125.130134125008,17.3416327215549,"2010_2019","21"
"601","1981","LA",91.6471678713543,18.7902761628886,"1980_1989","22"
"602","1982","LA",140.457282981241,19.0480372967097,"1980_1989","22"
"603","1983","LA",143.780577861156,17.8161469867779,"1980_1989","22"
"604","1984","LA",130.374477994678,20.1187692549435,"1980_1989","22"
"605","1985","LA",125.629875452318,20.1172192180221,"1980_1989","22"
"606","1986","LA",106.82437968151,19.4661473804637,"1980_1989","22"
"607","1987","LA",124.713558350753,18.6597770380029,"1980_1989","22"
"608","1988","LA",116.413908656654,18.3903390981838,"1980_1989","22"
"609","1989","LA",131.902338165263,19.446460095569,"1980_1989","22"
"610","1990","LA",124.279390776065,19.6885251451673,"1990_1999","22"
"611","1991","LA",164.906063063753,19.1626673229774,"1990_1999","22"
"612","1992","LA",132.967797500411,18.5897545016145,"1990_1999","22"
"613","1993","LA",120.899099930019,18.4196604614084,"1990_1999","22"
"614","1994","LA",125.54906506128,18.9233337819646,"1990_1999","22"
"615","1995","LA",129.634849034202,19.1548845330843,"1990_1999","22"
"616","1996","LA",112.170346974709,18.7519655881525,"1990_1999","22"
"617","1997","LA",132.658350796302,18.7295404800335,"1990_1999","22"
"618","1998","LA",124.76342030768,20.1745841456233,"1990_1999","22"
"619","1999","LA",100.650951204677,19.7001943715495,"1990_1999","22"
"620","2000","LA",99.0141339676689,19.3537470547416,"2000_2009","22"
"621","2001","LA",143.427166172981,19.0480604003639,"2000_2009","22"
"622","2002","LA",142.431081946948,18.9947442618091,"2000_2009","22"
"623","2003","LA",115.787600556078,18.823997477435,"2000_2009","22"
"624","2004","LA",155.681075106656,19.269981073287,"2000_2009","22"
"625","2005","LA",97.5889742106357,19.4863438954209,"2000_2009","22"
"626","2006","LA",124.350224037851,19.5750149780015,"2000_2009","22"
"627","2007","LA",109.468503874535,19.464213252327,"2000_2009","22"
"628","2008","LA",131.696817881295,18.9944483354172,"2000_2009","22"
"629","2009","LA",138.855784422842,19.1373308358487,"2000_2009","22"
"630","2010","LA",88.7382236877241,18.9644339086698,"2010_2019","22"
